id;date;days;request_date;comprobante;comprobante_content_type;permission_status_id;permission_type_id;support_id
1;2025-09-21;16288;2025-09-21;../fake-data/blob/hipster.png;image/png;1;1;1
2;2025-09-21;13285;2025-09-21;../fake-data/blob/hipster.png;image/png;2;2;2
3;2025-09-21;28244;2025-09-21;../fake-data/blob/hipster.png;image/png;3;3;3
4;2025-09-21;1514;2025-09-21;../fake-data/blob/hipster.png;image/png;4;4;4
5;2025-09-21;31696;2025-09-21;../fake-data/blob/hipster.png;image/png;5;5;5
6;2025-09-21;2518;2025-09-21;../fake-data/blob/hipster.png;image/png;6;6;6
7;2025-09-21;3639;2025-09-21;../fake-data/blob/hipster.png;image/png;7;7;7
8;2025-09-21;16153;2025-09-21;../fake-data/blob/hipster.png;image/png;8;8;8
9;2025-09-21;27993;2025-09-21;../fake-data/blob/hipster.png;image/png;9;9;9
10;2025-09-21;5819;2025-09-21;../fake-data/blob/hipster.png;image/png;10;10;10
